year,exam,question_number,statement,option_a,option_b,option_c,option_d,correct_option,answer_key_status,question_source_url,answer_key_source_url,question_extraction_status
2014,AEMET A1 Acceso Libre — Primer ejercicio,11,¿Cuál de las siguientes expresiones representa una ecuación diferencial ordinaria de segundo orden lineal y homogénea? d2y,(t − 4 ) 2 + ln (t ) y = 0 dt 2 + sen(t + y ) = 0 d y dy,+ dt 2 dt dy,y 2 + =0 dt (  t2  d 2 y,tg  )  2 + t 4 − 1 dy + ( y − 2t ) = 0  t − 1  dt dt Proceso selectivo para ingreso por el sistema general de acceso libre en el Cuerpo Superior de Meteorólogos del Estado Orden AAA/1183/2014 de 26 de junio (BOE nº 166 de 9 de julio de 2014) Primer ejercicio Página 4 de 19,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,12,"Sea la ecuación diferencial lineal de segundo orden y´´+5 y´+6 y = 0 . Siendo t la variable independiente, el valor del wronskiano de sus soluciones es:",− e −5t,− 5e −5t,− e 5t,− 5e − t,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,13,Seleccione la afirmación correcta:,La convolución de dos funciones en el dominio del tiempo es igual al producto de las transformadas de Fourier de las funciones en el dominio de la frecuencia,La transformada de Fourier de la convolución de dos funciones en el dominio del tiempo es igual al producto de las transformadas de Fourier de las funciones en el dominio de la frecuencia,La transformada de Fourier del producto de dos funciones en el dominio del tiempo es igual a la transformada de Fourier de la convolución de las funciones en el dominio de la frecuencia,El producto de dos funciones en el dominio del tiempo es igual a la convolución de las transformadas de Fourier de las funciones en el dominio de la frecuencia,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,14,"Dados n+1 puntos, {x0 , x1 ,..., x n } , n+1 valores { f ( x0 ), f ( x1 ),..., f ( x n )} y la expresión n n x − xj f n ( x ) = ∑ Li ( x ) f ( xi ) donde Li ( x ) = ∏ , seleccione la afirmación correcta: i =0 j =0 xi − x j j ≠i",La expresión se denomina polinomio de interpolación de Newton-Cotes,"Para n = 1, si la función f es una recta, f (− 1) = 1 y f (1) = −1 , entonces f 1 (0) = −1",El cálculo de las expresiones Li ( x ) no puede realizarse de forma recursiva,La expresión f n estima de forma exacta todos los polinomios de grado n+1,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,15,"En un giro de sentido antihorario en el hemisferio norte, la fuerza de Coriolis está dirigida en:","el mismo sentido que la fuerza centrífuga, con una magnitud directamente proporcional al cuadrado de la velocidad lineal","el mismo sentido que la fuerza centrífuga, con una magnitud directamente proporcional a la velocidad lineal","el sentido opuesto a la fuerza centrífuga, con una magnitud directamente proporcional al cuadrado de la velocidad lineal","el sentido opuesto a la fuerza centrífuga, con una magnitud directamente proporcional a la velocidad lineal Proceso selectivo para ingreso por el sistema general de acceso libre en el Cuerpo Superior de Meteorólogos del Estado Orden AAA/1183/2014 de 26 de junio (BOE nº 166 de 9 de julio de 2014) Primer ejercicio Página 5 de 19",B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,16,"Sabiendo que el momento de inercia de una barra delgada respecto a un eje 1 perpendicular que pasa por su centro es ML2 , siendo M su masa y L su longitud, 12 seleccione la expresión del correspondiente momento de inercia respecto a un eje perpendicular a la barra que pasa por su extremo. 1",ML2 3 1,ML2 6 1,ML2 24 1,ML2 36,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,17,La formulación lagrangiana de las leyes de la Mecánica presupone que el estado mecánico del sistema está determinado dando:,sólo sus coordenadas generalizadas,sus coordenadas y velocidades generalizadas,sólo sus velocidades generalizadas,sus coordenadas y aceleraciones generalizadas,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,18,El cuadrado de la velocidad de escape con la cual debe lanzarse un cuerpo desde la superficie de la Tierra es:,inversamente proporcional a la masa de la Tierra,inversamente proporcional a la aceleración de la gravedad en superficie,inversamente proporcional a la constante de gravitación universal,directamente proporcional a la masa de la Tierra e inversamente proporcional al radio de la misma,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,19,Marque la respuesta correcta referente a la viscosidad de los fluidos:,La variación de la viscosidad con la presión y la temperatura es igual en los gases que en los líquidos: disminuye al aumentar esas condiciones,La viscosidad de la mayoría de los fluidos es constante al variar la temperatura y la presión,"Al disminuir la presión y la temperatura, la viscosidad de los gases aumenta",En la mayoría de los fluidos líquidos la viscosidad aumenta al aumentar la presión y disminuye al aumentar la temperatura,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,20,La ecuación de continuidad de un fluido incompresible establece que:,la energía mecánica total se conserva en el fluido,la divergencia de la velocidad es igual a cero,el rotacional de la velocidad es igual a cero,el momento lineal se conserva en el fluido Proceso selectivo para ingreso por el sistema general de acceso libre en el Cuerpo Superior de Meteorólogos del Estado Orden AAA/1183/2014 de 26 de junio (BOE nº 166 de 9 de julio de 2014) Primer ejercicio Página 6 de 19,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,21,"En la atmósfera terrestre, la zona donde mayoritariamente el flujo tiene un carácter más turbulento es:",la capa límite atmosférica diurna,la atmósfera libre,la estratosfera,la subcapa laminar,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,22,La ecuación de Bernoulli en los fluidos representa:,la conservación del momento lineal,la conservación del momento angular,la conservación de la masa,la conservación de la energía,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,23,Suponga que la velocidad de fase de las ondas en un medio dispersivo viene dada por la expresión: g ⋅λ c fase = 2π donde g es la aceleración de la gravedad y λ es la longitud de onda. El valor de la velocidad de grupo es:,cfase,1/4 cfase,1/2 cfase,3/2 cfase,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,24,"Una fuente sonora emite un sonido cuya velocidad de propagación es de 340 m/s y cuya frecuencia es de 360 Hz. Si un observador inmóvil percibe ese sonido con una frecuencia de 400 Hz, ¿a qué velocidad radial respecto del observador se desplaza la fuente sonora?",38 m/s,61 m/s,34 m/s,65 m/s,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,25,Seleccione la expresión correcta en un gas ideal:,dS = m⋅cv⋅d (ln θ),dS = m⋅cp⋅d (ln θ),dS = m⋅cv⋅d θ,dS = m⋅cp⋅d θ siendo S = entropía; m = masa; θ = temperatura potencial; cp = calor específico del gas a presión constante; cv = calor específico del gas a volumen constante. Proceso selectivo para ingreso por el sistema general de acceso libre en el Cuerpo Superior de Meteorólogos del Estado Orden AAA/1183/2014 de 26 de junio (BOE nº 166 de 9 de julio de 2014) Primer ejercicio Página 7 de 19,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,26,"Sean tres procesos termodinámicos en los que un mol de gas ideal disminuye su presión, aumenta su volumen y disminuye su temperatura: (proceso A) expansión adiabática; (proceso B) proceso isotermo seguido de un enfriamiento isocoro; (proceso C) un enfriamiento isocoro seguido de una expansión isobárica. Seleccione la secuencia ordenada correcta para el valor del trabajo de expansión (W) correspondiente a cada proceso.",WA < WB < WC,WB < WA < WC,WC < WA < WB,WC < WB < WA,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,27,"En un cambio de fase reversible del agua, se mantiene constante:",la entalpía,la función de Gibbs,la energía interna,la entropía,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,28,Considere la expansión isoterma de un gas ideal hasta que iguale la presión exterior (patm). ¿Cómo debería ser el proceso para que la energía intercambiada entre el gas y el exterior en forma de trabajo fuera máxima?,Proceso de expansión brusca contra la presión exterior,Proceso cuasiestático,Proceso isoentrópico sin fenómenos disipativos,Proceso adiabático cuasiestático,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,29,"Sea la ecuación PVγ = cte, donde P y V son la presión y el volumen de un gas, γ = cp/cv, con cp y cv los valores del calor específico del gas a presión y volumen constante, respectivamente. Esta ecuación es válida:",para cualquier proceso adiabático,solo para procesos adiabáticos de gases ideales,solo para procesos adiabáticos reversibles,solo para procesos adiabáticos reversibles de gases ideales,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,30,"¿Cuál será la variación de entropía que experimentan 2 moles de He, suponiendo que se comporta como gas perfecto monoatómico, cuando su volumen se triplica y su presión se divide por tres?",∆S = 2R ln 3 2,∆S = 2 R ln  3,∆S = − 2 R ln 3,∆S = 0 siendo R la constante universal de los gases. Proceso selectivo para ingreso por el sistema general de acceso libre en el Cuerpo Superior de Meteorólogos del Estado Orden AAA/1183/2014 de 26 de junio (BOE nº 166 de 9 de julio de 2014) Primer ejercicio Página 8 de 19,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,31,"Por una espira circular de una vuelta pasa una corriente eléctrica. Si con el mismo hilo conductor se hace otra espira circular de dos vueltas, la inducción magnética en el centro producida por la misma corriente es:",la misma que en el primer caso,la cuarta parte que en el primer caso,la mitad que en el primer caso,cuatro veces mayor que en el primer caso,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,32,La ecuación de Navier-Stokes:,solo es válida para un flujo turbulento,solo es válida para un flujo laminar,es válida tanto para un flujo laminar como turbulento,solo es válida para un fluido incompresible e irrotacional,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,33,¿Qué ley establece que la potencia emitida por unidad de área por un cuerpo negro es directamente proporcional a la cuarta potencia de la temperatura absoluta del citado cuerpo?,Ley de Kirchhoff,Ley de Planck,Ley de Stefan-Boltzmann,Ley de Wien,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,34,"En el Sistema Internacional, la radiancia se expresa en:",W · sr -1,W · nm -1,W · m -2 · K -1,W · m -2 · sr -1,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,35,La disminución media de la temperatura en la troposfera terrestre por cada kilómetro que se asciende en ella es:,9.8 ºC,6.5 ºC,0.0098 ºC,0.0065 ºC,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,36,"Entre los gases atmosféricos indicados, marque el que absorbe las radiaciones más energéticas:",Oxígeno,Dióxido de carbono,Óxido nitroso,Ozono Proceso selectivo para ingreso por el sistema general de acceso libre en el Cuerpo Superior de Meteorólogos del Estado Orden AAA/1183/2014 de 26 de junio (BOE nº 166 de 9 de julio de 2014) Primer ejercicio Página 9 de 19,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,37,"En relación con el porcentaje en volumen de los gases en la troposfera, elija la frase correcta:",El nitrógeno molecular tiene una importante variación con la altura,El oxígeno molecular tiene una importante variación con la altura,El dióxido de carbono tiene una importante variación con la altura,El vapor de agua tiene una importante variación con la altura,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,38,"Cuando tenemos estratificación estable con aire seco, la temperatura potencial:",disminuye con la altura,se mantiene constante con la altura,aumenta con la altura,depende de la cizalladura del viento que haya,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,39,El ritmo de disminución de la temperatura con la altura en una masa de aire húmedo que asciende adiabáticamente hasta llegar al nivel de condensación es:,siempre menor que en una masa de aire seco,igual que en una masa de aire seco,menor cuanto menor sea la humedad específica de la masa de aire,mayor que en una masa de aire seco,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,40,Cuando ocurre el llamado “efecto Föhn” se conserva:,la temperatura seudopotencial equivalente,la temperatura adiabática del termómetro húmedo,la temperatura potencial virtual,la temperatura adiabática equivalente,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,41,"En un ascenso adiabático (sin saturación), la temperatura del punto de rocío:",disminuye ≅ 9.8 º/km,disminuye ≅ 1.6 º/km,disminuye ≅ 6.5 º/km,es constante,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,42,El intervalo de bruma en una niebla radiativa es:,el tiempo que tarda en disiparse la bruma y que depende de la concentración inicial de gotitas de agua,"el tiempo entre bruma y niebla, y que depende de la concentración inicial de vapor de agua",el descenso de temperatura que implica una condensación de 0.5 gramos de vapor de agua en 1 m3 de aire,la cantidad de vapor de agua a condensar para que la visibilidad horizontal sea inferior a 1 km Proceso selectivo para ingreso por el sistema general de acceso libre en el Cuerpo Superior de Meteorólogos del Estado Orden AAA/1183/2014 de 26 de junio (BOE nº 166 de 9 de julio de 2014) Primer ejercicio Página 10 de 19,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,43,"Aproximadamente, la altura del nivel de condensación por ascenso es:",inversamente proporcional a la diferencia entre la temperatura del aire y la temperatura del punto de rocío en el suelo,directamente proporcional a la diferencia entre la temperatura del aire y la temperatura del punto de rocío en el suelo,inversamente proporcional a la diferencia entre la temperatura virtual y temperatura del aire en el suelo,directamente proporcional a la diferencia entre la temperatura virtual y la temperatura del aire en el suelo,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
