question_id,year,question_number,source_pdf_page,issue_flags,current_verification_status,source_pdf_url,review_action
aemet-a1-acceso-libre-primer-ejercicio-2015-10,2015,10,3,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-103,2015,103,28,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-107,2015,107,29,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-111,2015,111,30,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-115,2015,115,31,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-117,2015,117,32,suspected_ocr_word_corruption,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-119,2015,119,32,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-13,2015,13,4,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-17,2015,17,5,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-21,2015,21,6,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-25,2015,25,7,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-29,2015,29,8,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-3,2015,3,1,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-32,2015,32,9,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-34,2015,34,10,suspected_ocr_word_corruption,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-35,2015,35,10,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-39,2015,39,11,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-42,2015,42,12,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-46,2015,46,13,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-54,2015,54,15,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-58,2015,58,16,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-6,2015,6,2,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-61,2015,61,17,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-65,2015,65,18,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-69,2015,69,19,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-7,2015,7,3,suspected_ocr_word_corruption,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-73,2015,73,20,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-77,2015,77,21,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-80,2015,80,22,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-84,2015,84,23,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-88,2015,88,24,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-92,2015,92,25,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-96,2015,96,26,pdf_page_header_or_footer_embedded;suspected_ocr_word_corruption,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-97,2015,97,27,suspected_ocr_word_corruption,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2015-99,2015,99,27,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-1,2016,1,1,scanned_pdf_ocr_requires_visual_review;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-10,2016,10,4,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-100,2016,100,34,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-101,2016,101,35,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-102,2016,102,35,scanned_pdf_ocr_requires_visual_review;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-103,2016,103,35,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-104,2016,104,36,scanned_pdf_ocr_requires_visual_review;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-105,2016,105,36,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-106,2016,106,36,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-107,2016,107,37,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-108,2016,108,37,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-109,2016,109,37,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-110,2016,110,38,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-111,2016,111,38,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-112,2016,112,38,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-113,2016,113,39,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-114,2016,114,39,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-115,2016,115,39,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-116,2016,116,40,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-117,2016,117,40,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-118,2016,118,41,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-119,2016,119,41,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-12,2016,12,4,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-120,2016,120,42,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-14,2016,14,5,scanned_pdf_ocr_requires_visual_review;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-15,2016,15,5,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-17,2016,17,6,scanned_pdf_ocr_requires_visual_review;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-2,2016,2,1,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-20,2016,20,7,scanned_pdf_ocr_requires_visual_review;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-21,2016,21,7,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-22,2016,22,8,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-23,2016,23,8,scanned_pdf_ocr_requires_visual_review,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-24,2016,24,8,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2016-28,2016,28,10,scanned_pdf_ocr_requires_visual_review;pdf_page_header_or_footer_embedded;suspected_ocr_word_corruption,needs_review,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
