stable_id,existing_row,source_question,final_answer,disposition,review_status,intended_mutation,source_url
aemet-a1-acceso-libre-primer-ejercicio-2014-16,verified:A:legacy,2014-16,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-17,verified:B:legacy,2014-17,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-18,needs_review:D:legacy,2014-18,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-19,verified:D:legacy,2014-19,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-20,needs_review:B:legacy,2014-20,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-21,verified:A:legacy,2014-21,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-22,verified:D:legacy,2014-22,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-23,verified:C:legacy,2014-23,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-24,verified:C:legacy,2014-24,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-25,needs_review:B:legacy,2014-25,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-26,verified:C:legacy,2014-26,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-27,verified:B:legacy,2014-27,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-28,verified:B:legacy,2014-28,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-29,verified:D:legacy,2014-29,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-30,needs_review:A:legacy,2014-30,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-31,verified:D:legacy,2014-31,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-32,verified:C:legacy,2014-32,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-33,verified:C:legacy,2014-33,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-34,verified:D:legacy,2014-34,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-35,verified:B:legacy,2014-35,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-36,needs_review:A:legacy,2014-36,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-37,verified:D:legacy,2014-37,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-38,verified:C:legacy,2014-38,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-39,verified:A:legacy,2014-39,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-40,verified:A:legacy,2014-40,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-41,verified:B:legacy,2014-41,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-42,needs_review:C:legacy,2014-42,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-43,verified:B:legacy,2014-43,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-44,verified:C:legacy,2014-44,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-45,verified:C:legacy,2014-45,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-46,verified:B:legacy,2014-46,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-47,verified:C:legacy,2014-47,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-48,needs_review:A:legacy,2014-48,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-49,verified:C:legacy,2014-49,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-50,verified:A:legacy,2014-50,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-51,verified:B:legacy,2014-51,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-52,verified:D:legacy,2014-52,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-53,needs_review:D:legacy,2014-53,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-54,verified:B:legacy,2014-54,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-55,verified:B:legacy,2014-55,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-56,verified:D:legacy,2014-56,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-58,verified:C:legacy,2014-58,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-59,needs_review:C:legacy,2014-59,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-60,verified:A:legacy,2014-60,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-61,verified:B:legacy,2014-61,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-62,verified:D:legacy,2014-62,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-63,verified:C:legacy,2014-63,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-64,needs_review:C:legacy,2014-64,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-65,verified:B:legacy,2014-65,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-66,verified:B:legacy,2014-66,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-67,verified:C:legacy,2014-67,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-68,verified:A:legacy,2014-68,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-69,verified:C:legacy,2014-69,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-70,needs_review:D:legacy,2014-70,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-71,verified:C:legacy,2014-71,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-72,verified:C:legacy,2014-72,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-73,verified:B:legacy,2014-73,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-74,verified:B:legacy,2014-74,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-75,verified:B:legacy,2014-75,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-76,needs_review:C:legacy,2014-76,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-77,verified:D:legacy,2014-77,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-78,verified:C:legacy,2014-78,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-79,verified:C:legacy,2014-79,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-80,verified:A:legacy,2014-80,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-81,verified:D:legacy,2014-81,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-82,needs_review:C:legacy,2014-82,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-83,verified:B:legacy,2014-83,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-84,verified:C:legacy,2014-84,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-85,verified:A:legacy,2014-85,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-86,verified:C:legacy,2014-86,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-87,verified:A:legacy,2014-87,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-88,needs_review:A:legacy,2014-88,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-89,verified:D:legacy,2014-89,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-90,verified:D:legacy,2014-90,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-91,verified:B:legacy,2014-91,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-92,verified:D:legacy,2014-92,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-93,needs_review:C:legacy,2014-93,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-94,needs_review:C:legacy,2014-94,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-96,verified:C:legacy,2014-96,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-97,verified:C:legacy,2014-97,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-98,verified:C:legacy,2014-98,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-99,verified:A:legacy,2014-99,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-100,verified:A:legacy,2014-100,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2015-1,verified:C:legacy,2015-1,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf
