year,exam,question_number,statement,option_a,option_b,option_c,option_d,correct_option,answer_key_status,question_source_url,answer_key_source_url,question_extraction_status,exclusion_reason
2016,AEMET A1 Acceso Libre — Primer ejercicio,25,"Sea una esfera de masa m, se desliza sin friccidn a lo largo de un alambre doblado en forma de una cicloide x = a(¢—sin ¢), y = (g —cos¢) en el seno de un campo gravitatorio que actua en paralelo al eje y en sentido descendente. Indique la afirmacidn correcta, si se considera s el desplazamiento sobre la cicloide: . : | er. sae","el Lagrangiano del sistema es L = aims mgs""","el desplazamiento de la esfera a lo largo de la cicloide, definido desde su base toma valores entre—4ay 4a.",se describe por la ecuacién de movimiento de un oscilador armédnico simple de frecuencia @ = | 2a anh : mg,laecuacidn de Lagrange del sistema ms =——— s. a,ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion__correccionplantilladefc_sup_meteorologos_libre_sf-fp_tcm30-96168.pdf,ocr_needs_visual_review,official_annulled
2016,AEMET A1 Acceso Libre — Primer ejercicio,26,"Un cuerpo A describe una orbita kepleriana alrededor de otro cuerpo B que podemos suponer en reposo. Cuando la distancia entre los cuerpos es maxima, la velocidad angular de A respecto a B es de 1 rad s? y su distancia es 4m. Cuando el radio vector que une ambos cuerpos ha girado 45° respecto de la anterior posicién, su distancia se ha reducido a 3 m. En ese momento la componente de la velocidad de B perpendicular al radio vector toma un valor de:",4/3 ms*,16/3 ms?,J2 4/3 ms?,"V2 3/4ms7 ee ee ———— SS 2 Tribunal Calificador de las Pruebas Selectivas para el acceso al 7 a Cuerpo Superior de Meteordélogos del Estado, por el sistema general de acceso libre ail S (Orden AAA/902/2016, de 7 de junio; BOE 139, de 9 de junio) ze! + | l) eee PRIMER EJERCICIO (las respuestas ha de marcarlas en la Hoja de Examen) eee",ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion__correccionplantilladefc_sup_meteorologos_libre_sf-fp_tcm30-96168.pdf,ocr_needs_visual_review,official_annulled
2016,AEMET A1 Acceso Libre — Primer ejercicio,50,Sefiale la afirmacién correcta. En un diagrama oblicuo:,las lineas adiabaticas y las pseudoadiabaticas seran practicamente coincidentes a bajas temperaturas.,entre las equisaturadas y las isotermas se encuentran las adiabaticas saturadas.,si la curva de la temperatura se encuentra entre la pseusoadiabatica y la adiabatica | seca se tiene inestabilidad.,el nivel de equilibrio se calcula al ascender desde el nivel de conveccién por ascenso por la adiabatica saturada hasta cortar a la curva de la temperatura. |,ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion__correccionplantilladefc_sup_meteorologos_libre_sf-fp_tcm30-96168.pdf,ocr_needs_visual_review,official_annulled
2016,AEMET A1 Acceso Libre — Primer ejercicio,75,éCual de los siguientes factores no contribuye a la frontogénesis en superficie?,Cizalladura horizontal del gradiente horizontal de temperatura.,Confluencia del gradiente horizontal de temperatura.,Inclinacién del gradiente vertical de temperatura.,Variacion horizontal del calentamiento adiabatico.,ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion__correccionplantilladefc_sup_meteorologos_libre_sf-fp_tcm30-96168.pdf,ocr_needs_visual_review,official_annulled
2016,AEMET A1 Acceso Libre — Primer ejercicio,85,Sefiale la afirmacidn correcta:,"La salinidad del océano Atlantico es en promedio mayor que la del océano Pacifico, y en ambos la menor salinidad se da en latitudes altas septentrionales.","La salinidad del océano Antartico es menor que del océano Artico, pero mayor que en la zona de convergencia intertropical.","La distribucidén global de la salinidad a 1000 m de profundidad es similar a la de la superficie, y destaca el maximo en el Atlantico Norte oriental debido a las aguas de origen mediterraneo.","Los cambios de densidad en el océano global causados por la compresibilidad son menores que los causados por cambios en la salinidad y temperatura. 29 —_ Tribunal Calificador de las Pruebas Selectivas para el acceso al aS. a Cuerpo Superior de Meteordlogos del Estado, por el sistema general de acceso libre ~ || (Orden AAA/902/2016, de 7 de junio; BOE 139, de 9 de junio) 8 _ s PRIMER EJERCICIO (las respuestas ha de marcarlas en la Hoja de Examen) ee",ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion__correccionplantilladefc_sup_meteorologos_libre_sf-fp_tcm30-96168.pdf,ocr_needs_visual_review,official_annulled
2016,AEMET A1 Acceso Libre — Primer ejercicio,95,éCual de los siguientes procesos no es un forzamiento relevante segun el IPCC?,Las estelas de condensacidn de los aviones.,Las emisiones volcanicas.,Las variaciones en la magnetosfera.,"La ionizacion solar modulada de rayos cdsmicos atmosféricos,",ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion__correccionplantilladefc_sup_meteorologos_libre_sf-fp_tcm30-96168.pdf,ocr_needs_visual_review,official_annulled
2017,AEMET A1 Acceso Libre — Primer ejercicio,8,"Siendo c1 y c2 constantes arbitrarias, la solución de la ecuación diferencial 2y’’ - y’ - 1 = 0 es:",y = c1e-2x +c2ex,y = c1e2x +c2ex,y = c1ex/2 +c2ex,"y = c1e-x/2 +c2ex 4 | 28 Tribunal Calificador de las Pruebas Selectivas para el acceso al Cuerpo Superior de Meteorólogos del Estado (Resolución del 12 de septiembre de la Subsecretaria del Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente; BOE 225, de 18 de septiembre) PRIMER EJERCICIO",ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/primer_ejercicio_v2_tcm30-437875.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion2017__plantillarespuestas_definitiva_pe_sello_tcm30-439946.pdf,text_extracted,official_annulled
2017,AEMET A1 Acceso Libre — Primer ejercicio,97,"El III Plan de Acción de España 2017-2019 de Alianza para el Gobierno Abierto se estructura en cinco ejes denominados “Eje Colaboración”, “Eje Participación”, “Eje Transparencia”, “Eje Rendición de Cuentas” y “Eje Formación”. ¿Cuál de los siguientes compromisos se integra en el Eje Transparencia?",Presupuestos participativos.,Información sobre violencia de género.,Impulsar los Datos Abiertos como instrumento para una Justicia Abierta en España.,"Carpeta ciudadana. 27 | 28 Tribunal Calificador de las Pruebas Selectivas para el acceso al Cuerpo Superior de Meteorólogos del Estado (Resolución del 12 de septiembre de la Subsecretaria del Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente; BOE 225, de 18 de septiembre) PRIMER EJERCICIO",D,official,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/primer_ejercicio_v2_tcm30-437875.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion2017__plantillarespuestas_definitiva_pe_sello_tcm30-439946.pdf,text_extracted,stale_or_outside_current_program:Plan de Acción de España 2017-2019
2018,AEMET A1 Acceso Libre — Primer ejercicio,1,Señale la afirmación correcta. Dado el campo escalar en coordenadas esféricas ݂ሺ‫ݎ‬ǡ ߠǡ ߶ሻ ൌ ‫ݎ‬,El gradiente de ݂ tiene módulo variable en todos los puntos.,El gradiente de ݂ no es irrotacional.,El laplaciano de ݂ es nulo.,La dirección del gradiente de ݂ en un punto es paralela a la dirección del gradiente de ݂ en cualquier otro punto.,ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_primerejercicio_libre_cs_meteorologos_tcm30-498497.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_definitiva_notas_1ejercicio_libre_cs_meteorologos_tcm30-498798.pdf,text_extracted,official_annulled
2018,AEMET A1 Acceso Libre — Primer ejercicio,67,Señale la afirmación correcta respecto a los anticiclones subtropicales:,Se extienden verticalmente a lo largo de toda la tropopausa y están presentes durante todo el año.,No se reflejan en altura y están presentes durante todo el año.,Se extienden verticalmente a lo largo de toda la tropopausa y desaparecen durante los inviernos del hemisferio correspondiente.,"No se reflejan en altura y desaparecen durante los inviernos del hemisferio correspondiente. 21 __________________________________________________________________________________________ Tribunal Calificador de las Pruebas Selectivas para el ingreso en el Cuerpo Superior de Meteorólogos del Estado (Resolución de 21 de marzo de 2019; BOE 76, de 29 de marzo) ______________________________________________________________________ PRIMER EJERCICIO (las respuestas ha de marcarlas en la Hoja de Examen) ___________________________________________________________________________________________",ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_primerejercicio_libre_cs_meteorologos_tcm30-498497.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_definitiva_notas_1ejercicio_libre_cs_meteorologos_tcm30-498798.pdf,text_extracted,official_annulled
2018,AEMET A1 Acceso Libre — Primer ejercicio,84,¿Cuál de los siguientes protocolos permite cifrar los archivos para su intercambio de forma más segura que el resto?,FTP,TFTP,SSH,SCP,ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_primerejercicio_libre_cs_meteorologos_tcm30-498497.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_definitiva_notas_1ejercicio_libre_cs_meteorologos_tcm30-498798.pdf,text_extracted,official_annulled
2018,AEMET A1 Acceso Libre — Primer ejercicio,88,Señale la afirmación correcta. La Constitución Española contempla que las siguientes materias se regularán mediante ley orgánica según su artículo 85:,"Desarrollo de los derechos fundamentales y de las libertades públicas, los Presupuestos Generales del Estado, los Estatutos de Autonomía y las demás previstas en la Constitución.","Desarrollo de los derechos fundamentales y de las libertades públicas, las que aprueben los Estatutos de Autonomía, las de carácter tributario y las demás previstas en la Constitución.","Desarrollo de los derechos fundamentales y de las libertades públicas, las que aprueben los Estatutos de Autonomía y el régimen electoral general y las demás previstas en la Constitución.","Desarrollo de los derechos fundamentales y de las libertades públicas, las que aprueben los Estatutos de Autonomía, las que regulan materias que no pueden ser objeto de iniciativa legislativa popular y las demás previstas en la Constitución. 27 __________________________________________________________________________________________ Tribunal Calificador de las Pruebas Selectivas para el ingreso en el Cuerpo Superior de Meteorólogos del Estado (Resolución de 21 de marzo de 2019; BOE 76, de 29 de marzo) ______________________________________________________________________ PRIMER EJERCICIO (las respuestas ha de marcarlas en la Hoja de Examen) ___________________________________________________________________________________________",ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_primerejercicio_libre_cs_meteorologos_tcm30-498497.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_definitiva_notas_1ejercicio_libre_cs_meteorologos_tcm30-498798.pdf,text_extracted,official_annulled
